sample_name	altitude	altitude_m	anonymized_name	body_habitat	body_product	body_site	collection_timestamp	country	day	depth	depth_m	description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	family	host_common_name	host_subject_id	host_taxid	house	house_day_subject_surface	house_day_surface	house_surface	latitude	latitude_deg	life_stage	longitude	longitude_deg	move_time	moved	notes	number_children	number_residents_human	percent_adult_residents	percent_male	pet_farm_animal	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_order	sample_scientific_name	sample_taxid	sample_type	sex	source	source1	sourcesink	subject	subject_surface	surface	time	title
2192.H07b.Front.Door.Knob.4037.lane2.NoIndex.L002	0	0.0	H07b.Front_Door_Knob				2012-07-03	GAZ:United States of America	D19	0	0	H07b.Front_Door_Knob	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	7	Not applicable		Not applicable	H07b	H07b.D19.House_07b.Front_Door_Knob	H07b.D19.Front_Door_Knob	H07b.Front_Door_Knob	41.88	41.88		-87.63	-87.63	After	true		0	2	1	0.5	Cat	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	1542	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_07b	House_07b.Front_Door_Knob	Front_Door_Knob	6:35AM	Gilbert_house_forensics_BE
2192.H07b.Front.Door.Knob.4061.lane2.NoIndex.L002	0	0.0	H07b.Front_Door_Knob				2012-07-05	GAZ:United States of America	D20	0	0	H07b.Front_Door_Knob	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	7	Not applicable		Not applicable	H07b	H07b.D20.House_07b.Front_Door_Knob	H07b.D20.Front_Door_Knob	H07b.Front_Door_Knob	41.88	41.88		-87.63	-87.63	After	true		0	2	1	0.5	Cat	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	1556	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_07b	House_07b.Front_Door_Knob	Front_Door_Knob	9:30AM	Gilbert_house_forensics_BE
2192.H07b.Front.Door.Knob.4085.lane2.NoIndex.L002	0	0.0	H07b.Front_Door_Knob				2012-07-09	GAZ:United States of America	D21	0	0	H07b.Front_Door_Knob	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	7	Not applicable		Not applicable	H07b	H07b.D21.House_07b.Front_Door_Knob	H07b.D21.Front_Door_Knob	H07b.Front_Door_Knob	41.88	41.88		-87.63	-87.63	After	true		0	2	1	0.5	Cat	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	1570	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_07b	House_07b.Front_Door_Knob	Front_Door_Knob	6:28AM	Gilbert_house_forensics_BE
2192.H07b.Front.Door.Knob.4109.lane6.NoIndex.L006	0	0.0	H07b.Front_Door_Knob				2012-07-11	GAZ:United States of America	D22	0	0	H07b.Front_Door_Knob	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	7	Not applicable		Not applicable	H07b	H07b.D22.House_07b.Front_Door_Knob	H07b.D22.Front_Door_Knob	H07b.Front_Door_Knob	41.88	41.88		-87.63	-87.63	After	true		0	2	1	0.5	Cat	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	1582	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_07b	House_07b.Front_Door_Knob	Front_Door_Knob	6:50AM	Gilbert_house_forensics_BE
2192.H07b.Front.Door.Knob.4133.lane6.NoIndex.L006	0	0.0	H07b.Front_Door_Knob				2012-07-13	GAZ:United States of America	D23	0	0	H07b.Front_Door_Knob	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	7	Not applicable		Not applicable	H07b	H07b.D23.House_07b.Front_Door_Knob	H07b.D23.Front_Door_Knob	H07b.Front_Door_Knob	41.88	41.88		-87.63	-87.63	After	true		0	2	1	0.5	Cat	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	1594	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_07b	House_07b.Front_Door_Knob	Front_Door_Knob	3:35PM	Gilbert_house_forensics_BE
2192.H07b.Front.Door.Knob.4157.lane6.NoIndex.L006	0	0.0	H07b.Front_Door_Knob				2012-07-15	GAZ:United States of America	D24	0	0	H07b.Front_Door_Knob	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	7	Not applicable		Not applicable	H07b	H07b.D24.House_07b.Front_Door_Knob	H07b.D24.Front_Door_Knob	H07b.Front_Door_Knob	41.88	41.88		-87.63	-87.63	After	true		0	2	1	0.5	Cat	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	1606	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_07b	House_07b.Front_Door_Knob	Front_Door_Knob	6:00AM	Gilbert_house_forensics_BE
2192.H07b.Front.Door.Knob.4181.lane6.NoIndex.L006	0	0.0	H07b.Front_Door_Knob				2012-07-17	GAZ:United States of America	D25	0	0	H07b.Front_Door_Knob	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	7	Not applicable		Not applicable	H07b	H07b.D25.House_07b.Front_Door_Knob	H07b.D25.Front_Door_Knob	H07b.Front_Door_Knob	41.88	41.88		-87.63	-87.63	After	true		0	2	1	0.5	Cat	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	1618	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_07b	House_07b.Front_Door_Knob	Front_Door_Knob	6:15AM	Gilbert_house_forensics_BE
2192.H07b.Hand.3847.lane6.NoIndex.L006	0	0.0	H07b.Hand	UBERON:skin	UBERON:sebum	UBERON:skin of hand	2012-06-17	GAZ:United States of America	D11	0	0	H07b.Hand	true	181.32	181.32	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	human-associated habitat	sebum	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	7	human	Person_07.1	9606	H07b	H07b.D11.Person_07.1.Hand	H07b.D11.Hand	H07b.Hand	41.88	41.88	adult	-87.63	-87.63	After	true		0	2	1	0.5	Cat	ANL	true	true	Host-associated	Animal	Animal surface	2192	1462	human skin metagenome	539655	XXQIITAXX	female	Person	Person	source	Person_07.1	Person_07.1.Hand	Hand	5:20AM	Gilbert_house_forensics_BE
2192.H07b.Hand.3850.lane6.NoIndex.L006	0	0.0	H07b.Hand	UBERON:skin	UBERON:sebum	UBERON:skin of hand	2012-06-17	GAZ:United States of America	D11	0	0	H07b.Hand	true	181.32	181.32	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	human-associated habitat	sebum	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	7	human	Person_07.2	9606	H07b	H07b.D11.Person_07.2.Hand	H07b.D11.Hand	H07b.Hand	41.88	41.88	adult	-87.63	-87.63	After	true		0	2	1	0.5	Cat	ANL	true	true	Host-associated	Animal	Animal surface	2192	1465	human skin metagenome	539655	XXQIITAXX	male	Person	Person	source	Person_07.2	Person_07.2.Hand	Hand	5:20AM	Gilbert_house_forensics_BE
2192.H07b.Hand.3871.lane6.NoIndex.L006	0	0.0	H07b.Hand	UBERON:skin	UBERON:sebum	UBERON:skin of hand	2012-06-18	GAZ:United States of America	D12	0	0	H07b.Hand	true	181.32	181.32	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	human-associated habitat	sebum	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	7	human	Person_07.1	9606	H07b	H07b.D12.Person_07.1.Hand	H07b.D12.Hand	H07b.Hand	41.88	41.88	adult	-87.63	-87.63	After	true		0	2	1	0.5	Cat	ANL	true	true	Host-associated	Animal	Animal surface	2192	1476	human skin metagenome	539655	XXQIITAXX	female	Person	Person	source	Person_07.1	Person_07.1.Hand	Hand	11:20AM	Gilbert_house_forensics_BE
2192.H07b.Hand.3874.lane6.NoIndex.L006	0	0.0	H07b.Hand	UBERON:skin	UBERON:sebum	UBERON:skin of hand	2012-06-18	GAZ:United States of America	D12	0	0	H07b.Hand	true	181.32	181.32	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	human-associated habitat	sebum	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	7	human	Person_07.2	9606	H07b	H07b.D12.Person_07.2.Hand	H07b.D12.Hand	H07b.Hand	41.88	41.88	adult	-87.63	-87.63	After	true		0	2	1	0.5	Cat	ANL	true	true	Host-associated	Animal	Animal surface	2192	1479	human skin metagenome	539655	XXQIITAXX	male	Person	Person	source	Person_07.2	Person_07.2.Hand	Hand	11:20AM	Gilbert_house_forensics_BE
2192.H07b.Hand.3943.lane6.NoIndex.L006	0	0.0	H07b.Hand	UBERON:skin	UBERON:sebum	UBERON:skin of hand	2012-06-25	GAZ:United States of America	D15	0	0	H07b.Hand	true	181.32	181.32	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	human-associated habitat	sebum	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	7	human	Person_07.1	9606	H07b	H07b.D15.Person_07.1.Hand	H07b.D15.Hand	H07b.Hand	41.88	41.88	adult	-87.63	-87.63	After	true		0	2	1	0.5	Cat	ANL	true	true	Host-associated	Animal	Animal surface	2192	1488	human skin metagenome	539655	XXQIITAXX	female	Person	Person	source	Person_07.1	Person_07.1.Hand	Hand	6:03AM	Gilbert_house_forensics_BE
2192.H07b.Hand.3946.lane6.NoIndex.L006	0	0.0	H07b.Hand	UBERON:skin	UBERON:sebum	UBERON:skin of hand	2012-06-25	GAZ:United States of America	D15	0	0	H07b.Hand	true	181.32	181.32	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	human-associated habitat	sebum	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	7	human	Person_07.2	9606	H07b	H07b.D15.Person_07.2.Hand	H07b.D15.Hand	H07b.Hand	41.88	41.88	adult	-87.63	-87.63	After	true		0	2	1	0.5	Cat	ANL	true	true	Host-associated	Animal	Animal surface	2192	1491	human skin metagenome	539655	XXQIITAXX	male	Person	Person	source	Person_07.2	Person_07.2.Hand	Hand	6:03AM	Gilbert_house_forensics_BE
